job_title,job_category,employee_residence,experience_level,employment_type,company_location,company_size,salary_in_usd
Data DevOps Engineer,Data Engineering,Germany,Mid-level,Full-time,Germany,L,95012
Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,United States,M,186000
Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,United States,M,81800
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,212000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,93300
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,130000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,100000
Machine Learning Researcher,Machine Learning and AI,United States,Mid-level,Full-time,United States,M,224400
Machine Learning Researcher,Machine Learning and AI,United States,Mid-level,Full-time,United States,M,138700
Data Engineer,Data Engineering,United States,Executive,Full-time,United States,M,210000
Data Engineer,Data Engineering,United States,Executive,Full-time,United States,M,168000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,224400
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,138700
Data Scientist,Data Science and Research,United Kingdom,Mid-level,Full-time,United Kingdom,M,43064
Data Scientist,Data Science and Research,United Kingdom,Mid-level,Full-time,United Kingdom,M,36912
Data Analyst,Data Analysis,United States,Entry-level,Full-time,United States,M,95000
Data Analyst,Data Analysis,United States,Entry-level,Full-time,United States,M,75000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,300000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,234000
Analytics Engineer,Leadership and Management,United States,Mid-level,Full-time,United States,M,140000
Analytics Engineer,Leadership and Management,United States,Mid-level,Full-time,United States,M,120000
Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,United States,M,204500
Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,United States,M,142200
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,155000
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,110000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,266500
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,152000
Applied Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,L,222200
Applied Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,L,136000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,273400
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,182200
BI Developer,BI and Visualization,United States,Senior,Full-time,United States,M,167500
BI Developer,BI and Visualization,United States,Senior,Full-time,United States,M,106500
