job_title,job_category,employee_residence,experience_level,employment_type,company_location,company_size,salary_in_usd
Machine Learning Engineer,Machine Learning and AI,Australia,Mid-level,Full-time,Other,M,287500
Business Intelligence Engineer,BI and Visualization,United States,Senior,Full-time,United States,M,156400
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,70000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,208500
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,283200
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,150000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,294000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,130000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,65000
Autonomous Vehicle Technician,Machine Learning and AI,American Samoa,Mid-level,Freelance,Other,M,45555
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,204500
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,154440
Applied Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,177000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,105000
ML Engineer,Machine Learning and AI,United States,Mid-level,Contract,United States,L,270000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,L,100000
BI Analyst,BI and Visualization,United States,Mid-level,Full-time,United States,M,140000
Applied Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,230000
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,130000
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,135000
Data Scientist,Data Science and Research,Canada,Senior,Full-time,Canada,M,120000
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,175000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,130000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,160000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,90700
Data Engineer,Data Engineering,United States,Executive,Full-time,United States,M,115500
Data Analytics Manager,Leadership and Management,United States,Mid-level,Full-time,United States,M,140000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,172500
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,210000
Data Analyst,Data Analysis,Australia,Mid-level,Full-time,Other,M,142500
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,172200
Machine Learning Engineer,Machine Learning and AI,United States,Entry-level,Full-time,United States,M,189750
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,107400
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,323300
Data Scientist,Data Science and Research,Canada,Senior,Full-time,Canada,M,157000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,L,205600
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,120000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,247500
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,126500
Data Analyst,Data Analysis,United Kingdom,Mid-level,Full-time,United Kingdom,M,49216
Applied Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,222200
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,190000
Director of Data Science,Data Science and Research,United States,Executive,Full-time,United States,M,247000
Machine Learning Scientist,Machine Learning and AI,United States,Senior,Full-time,United States,M,157250
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,80000
Machine Learning Engineer,Machine Learning and AI,Germany,Senior,Full-time,Germany,M,174000
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,58400
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,135000
Analytics Engineer,Leadership and Management,United States,Senior,Full-time,United States,M,231250
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,278300
Data Analyst,Data Analysis,United States,Entry-level,Full-time,United States,M,163800
Data Modeler,Data Architecture and Modeling,United States,Senior,Full-time,United States,M,90700
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,107500
Data Analytics Manager,Leadership and Management,United States,Mid-level,Full-time,United States,M,155000
Data Engineer,Data Engineering,United Kingdom,Senior,Full-time,United Kingdom,M,104611
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,111000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,88100
ML Engineer,Machine Learning and AI,Portugal,Entry-level,Full-time,Other,L,21013
Applied Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,136000
Data Scientist,Data Science and Research,Canada,Senior,Full-time,Canada,M,113000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,129300
Machine Learning Scientist,Machine Learning and AI,United States,Senior,Full-time,United States,M,108308
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,169000
Data Science Lead,Data Science and Research,United Kingdom,Mid-level,Full-time,United Kingdom,M,61520
Applied Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,L,136000
Decision Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,142200
Analytics Engineer,Leadership and Management,United States,Executive,Full-time,United States,M,157000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,316000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,194400
Analytics Engineer,Leadership and Management,United States,Senior,Full-time,United States,M,200000
Research Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,170000
Research Engineer,Data Science and Research,United States,Senior,Full-time,United States,M,210000
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,95000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,150000
Data Analyst,Data Analysis,United Kingdom,Mid-level,Full-time,United Kingdom,M,61566
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,145000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,153800
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,90320
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,104000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,111000
Data Scientist,Data Science and Research,Canada,Senior,Full-time,Canada,M,280830
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,L,132100
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,280000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,110600
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,215300
Data Engineer,Data Engineering,United Kingdom,Mid-level,Full-time,United Kingdom,M,49216
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,297000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,137500
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,138510
Data Engineer,Data Engineering,United Kingdom,Mid-level,Full-time,United Kingdom,M,67056
Business Intelligence Engineer,BI and Visualization,United States,Senior,Full-time,United States,L,79600
Applied Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,159100
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,268000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,130000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,185000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,210000
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,110000
Machine Learning Engineer,Machine Learning and AI,Italy,Mid-level,Full-time,United Kingdom,M,48585
Data Engineer,Data Engineering,Brazil,Mid-level,Full-time,Other,M,78000
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,145000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,94000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,90700
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,136000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,100500
Analytics Engineer,Leadership and Management,United States,Mid-level,Full-time,United States,M,165000
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,80000
Research Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,250000
Data Analytics Manager,Leadership and Management,United States,Mid-level,Full-time,United States,M,110000
