iter	RMSE
0	61181.79822
1	59609.43758
2	58303.72744
3	57052.0674
4	56126.64074
5	55272.98338
6	54517.28912
7	53927.16502
8	53436.91045
9	52926.72437
10	52490.20087
11	52107.78296
12	51810.82716
13	51554.74321
14	51274.87906
15	51082.27816
16	50987.70278
17	50832.23476
18	50679.39227
19	50563.92148
20	50432.52344
21	50317.71978
22	50196.10157
23	50118.05342
24	50009.95971
25	49950.82188
26	49873.66066
27	49804.57538
28	49776.74503
29	49728.78552
30	49680.28283
31	49668.61985
32	49630.31583
33	49625.32718
34	49584.09387
35	49530.76828
36	49491.16859
37	49471.90141
38	49448.68012
39	49417.34211
40	49398.94481
41	49388.13454
42	49373.87231
43	49339.92387
44	49301.51596
45	49276.706
46	49238.81435
47	49223.99798
48	49199.09623
49	49183.80642
50	49161.26463
51	49107.90153
52	49068.3803
53	49038.61147
54	49024.50442
55	48999.23079
56	48982.20467
57	48979.10617
58	48955.04608
59	48953.44613
60	48941.59149
61	48927.35532
62	48925.65768
63	48906.43566
64	48895.28311
65	48888.50735
66	48886.98788
67	48853.05831
68	48826.74985
69	48825.60745
70	48817.47848
71	48799.64131
72	48772.4959
73	48739.77992
74	48732.98567
75	48718.7587
76	48693.69683
77	48668.95722
78	48653.04644
79	48636.12538
80	48602.73063
81	48594.77071
82	48583.20922
83	48575.2296
84	48555.205
85	48528.54669
86	48514.45667
87	48511.70708
88	48494.49809
89	48479.82862
90	48459.68429
91	48446.99787
92	48438.16704
93	48436.90976
94	48429.35044
95	48406.57028
96	48389.98901
97	48364.73368
98	48352.96624
99	48326.08337
