iter	Passed	Remaining
0	1	190
1	6	315
2	10	352
3	15	371
4	19	375
5	24	382
6	28	383
7	33	385
8	37	384
9	42	380
10	46	377
11	51	374
12	55	370
13	59	368
14	64	365
15	68	361
16	69	340
17	74	337
18	79	337
19	83	333
20	88	331
21	92	328
22	97	325
23	101	320
24	106	318
25	108	309
26	113	306
27	117	303
28	119	292
29	123	288
30	127	284
31	128	273
32	133	270
33	133	259
34	137	255
35	142	253
36	146	250
37	148	241
38	149	233
39	153	230
40	158	227
41	159	220
42	161	214
43	166	211
44	170	208
45	175	205
46	179	202
47	184	199
48	185	193
49	187	187
50	191	184
51	196	181
52	200	177
53	205	175
54	210	171
55	214	168
56	219	165
57	220	159
58	221	153
59	222	148
60	226	144
61	230	141
62	231	135
63	235	132
64	236	127
65	241	124
66	241	119
67	246	115
68	250	112
69	251	107
70	253	103
71	257	100
72	262	96
73	266	93
74	269	89
75	273	86
76	277	82
77	280	78
78	284	75
79	285	71
80	290	68
81	294	64
82	299	61
83	303	57
84	308	54
85	312	50
86	316	47
87	317	43
88	322	39
89	326	36
90	330	32
91	335	29
92	339	25
93	340	21
94	345	18
95	349	14
96	353	10
97	358	7
98	362	3
99	366	0
