iter	RMSE
0	61919.11537
1	61039.3132
2	60264.11561
3	59547.84342
4	58872.15032
5	58250.47872
6	57734.9161
7	57228.3901
8	56718.93437
9	56287.65999
10	55905.20313
11	55565.60284
12	55233.66628
13	54920.49118
14	54678.20278
15	54375.77784
16	54120.21639
17	53860.59564
18	53638.88419
19	53462.55864
20	53287.5461
21	53129.02914
22	53014.05187
23	52848.2958
24	52724.66975
25	52595.43582
26	52480.46852
27	52389.87308
28	52293.80616
29	52181.39522
30	52106.86319
31	52011.27989
32	51898.27072
33	51835.94745
34	51745.9073
35	51722.96282
36	51648.19525
37	51589.28932
38	51502.71097
39	51400.39389
40	51341.81347
41	51287.10333
42	51234.00301
43	51197.77491
44	51158.07776
45	51118.39446
46	51074.34892
47	51021.63866
48	50963.84729
49	50934.73359
50	50887.04896
51	50858.41368
52	50834.29365
53	50778.05378
54	50751.34728
55	50708.70255
56	50664.74903
57	50645.211
58	50617.61256
59	50587.2517
60	50567.21758
61	50533.06675
62	50502.65309
63	50478.43108
64	50474.04187
65	50455.3796
66	50431.45299
67	50421.67009
68	50398.12889
69	50378.04328
70	50361.85646
71	50350.97384
72	50343.02239
73	50331.49746
74	50318.6623
75	50287.29536
76	50273.5366
77	50253.86946
78	50244.95021
79	50236.53162
80	50218.71432
81	50208.12188
82	50198.20618
83	50190.62226
84	50168.01659
85	50152.33847
86	50135.11088
87	50109.95403
88	50105.13376
89	50094.31451
90	50073.41599
91	50062.10983
92	50049.15862
93	50040.5358
94	50035.75295
95	50027.29615
96	50017.12991
97	50006.37884
98	49986.68898
99	49981.51358
100	49969.03899
101	49961.07902
102	49941.18272
103	49917.87838
104	49905.30315
105	49886.46895
106	49877.56023
107	49872.31087
108	49858.46387
109	49839.33794
110	49821.75872
111	49817.11142
112	49809.75356
113	49795.84517
114	49779.32202
115	49767.37218
116	49758.31792
117	49751.0584
118	49737.12387
119	49722.71995
120	49707.93274
121	49699.01157
122	49694.944
123	49688.46545
124	49683.81367
125	49667.90051
126	49664.24737
127	49654.42761
128	49646.08112
129	49639.08442
130	49631.20454
131	49624.87946
132	49616.64337
133	49607.3698
134	49603.4873
135	49594.09711
136	49575.44964
137	49570.10344
138	49558.95816
139	49549.33987
140	49544.42067
141	49539.36401
142	49524.67035
143	49518.25757
144	49509.24665
145	49496.46218
146	49483.75294
147	49472.50794
148	49467.74688
149	49462.65567
150	49454.45077
151	49447.60869
152	49444.81467
153	49428.69895
154	49419.9803
155	49415.8306
156	49408.28065
157	49405.18264
158	49395.66115
159	49381.82999
160	49376.00348
161	49360.87129
162	49351.18017
163	49341.70483
164	49323.80022
165	49312.7874
166	49302.58371
167	49290.4356
168	49283.44664
169	49281.08014
170	49272.32979
171	49258.8245
172	49251.82755
173	49246.80398
174	49237.87684
175	49227.94105
176	49221.62461
177	49212.02909
178	49204.55328
179	49200.97334
180	49197.81997
181	49190.60944
182	49183.12352
183	49175.38338
184	49170.66048
185	49160.25219
186	49155.5736
187	49151.93514
188	49143.40377
189	49136.89683
190	49125.05063
191	49118.4339
192	49111.72658
193	49100.70661
194	49094.86218
195	49090.96885
196	49086.63892
197	49080.4843
198	49076.48232
199	49073.68834
200	49070.19795
201	49061.68231
202	49054.97719
203	49046.07313
204	49043.00559
205	49040.13783
206	49033.97111
207	49029.48883
208	49018.28125
209	49007.84847
210	49004.32878
211	48998.6617
212	48993.48755
213	48990.05685
214	48985.3934
215	48980.63902
216	48972.90632
217	48966.74804
218	48964.12065
219	48960.67763
220	48958.00087
221	48951.46181
222	48942.20676
223	48938.59592
224	48935.94161
225	48927.44015
226	48925.46193
227	48915.6956
228	48907.80166
229	48904.98591
230	48902.17875
231	48888.60551
232	48885.37657
233	48876.92053
234	48872.72575
235	48867.28464
236	48863.8469
237	48858.88845
238	48855.80606
239	48851.34296
240	48847.13292
241	48839.53535
242	48837.44331
243	48826.4927
244	48822.14565
245	48820.24387
246	48816.33452
247	48812.62356
248	48810.07737
249	48799.01544
250	48790.31426
251	48787.13593
252	48782.52687
253	48775.83733
254	48770.73925
255	48768.18525
256	48763.86151
257	48756.33531
258	48751.05149
259	48741.45711
260	48736.68796
261	48734.28317
262	48731.5337
263	48725.44941
264	48722.16702
265	48716.60401
266	48711.08181
267	48706.43601
268	48702.59883
269	48698.25408
270	48690.4534
271	48686.4779
272	48684.44101
273	48679.44312
274	48674.91766
275	48665.85544
276	48658.86853
277	48653.90021
278	48650.15693
279	48645.78862
280	48639.19661
281	48635.96731
282	48632.15954
283	48627.2318
284	48617.96444
285	48615.6341
286	48614.22056
287	48608.58031
288	48606.43984
289	48598.60377
290	48594.34454
291	48591.68644
292	48590.56343
293	48586.70451
294	48579.58003
295	48576.56422
296	48573.59512
297	48569.38491
298	48567.62666
299	48565.27709
300	48563.37544
301	48551.79528
302	48541.78558
303	48538.34284
304	48531.69098
305	48529.23843
306	48525.48575
307	48522.78655
308	48519.02399
309	48515.90054
310	48511.17489
311	48509.95046
312	48499.48937
313	48496.4211
314	48491.17134
315	48488.93653
316	48487.81117
317	48478.20753
318	48471.43122
319	48469.11195
320	48465.41702
321	48461.89584
322	48459.07772
323	48454.36542
324	48451.4599
325	48449.38137
326	48447.39987
327	48445.44081
328	48443.71595
329	48440.27901
330	48436.34125
331	48434.69975
332	48432.8915
333	48427.5685
334	48424.58593
335	48421.21274
336	48419.83792
337	48418.07437
338	48415.03194
339	48412.27609
340	48407.96694
341	48404.70443
342	48399.76177
343	48397.24581
344	48394.39826
345	48390.64176
346	48389.82734
347	48388.36258
348	48382.69874
349	48379.5563
350	48377.74618
351	48375.0782
352	48370.87173
353	48367.72247
354	48363.87473
355	48357.75781
356	48353.95496
357	48352.41674
358	48348.63157
359	48344.82204
360	48340.94809
361	48337.97953
362	48335.95808
363	48334.60645
364	48331.54126
365	48329.63093
366	48327.44725
367	48326.17548
368	48323.54551
369	48321.82961
370	48320.55454
371	48319.44986
372	48317.56936
373	48314.34466
374	48311.85271
375	48309.78147
376	48308.81104
377	48306.45852
378	48303.03891
379	48299.80359
380	48295.89021
381	48291.79097
382	48291.14494
383	48288.95699
384	48284.70186
385	48282.0797
386	48279.5162
387	48276.16117
388	48275.31806
389	48271.30142
390	48269.49476
391	48267.04911
392	48264.01695
393	48260.48022
394	48259.56758
395	48257.67014
396	48253.88371
397	48251.50961
398	48250.40728
399	48245.04945
400	48243.4314
401	48242.61035
402	48241.30289
403	48239.62089
404	48233.04999
405	48230.49927
406	48228.29367
407	48226.55149
408	48222.03733
409	48220.00887
410	48218.63431
411	48217.83035
412	48215.51298
413	48213.95493
414	48210.32053
415	48207.49795
416	48204.96643
417	48201.93245
418	48201.0097
419	48200.00473
420	48198.31121
421	48197.15559
422	48193.11734
423	48185.57196
424	48182.17672
425	48180.37113
426	48177.43382
427	48175.82851
428	48174.48178
429	48173.13769
430	48171.32714
431	48167.57773
432	48166.09408
433	48164.44598
434	48163.73537
435	48157.18289
436	48155.88044
437	48152.5385
438	48150.69908
439	48149.90854
440	48143.18404
441	48137.42883
442	48135.76363
443	48133.0622
444	48131.73159
445	48130.3078
446	48128.09187
447	48127.1524
448	48125.03213
449	48123.23469
450	48120.30303
451	48119.96327
452	48118.37159
453	48115.78135
454	48115.47311
455	48112.5575
456	48110.03101
457	48107.61739
458	48101.0356
459	48100.26462
460	48099.05985
461	48093.61968
462	48091.66784
463	48090.58816
464	48087.12154
465	48086.39364
466	48085.10594
467	48084.26697
468	48081.29258
469	48080.10518
470	48078.65085
471	48077.32286
472	48076.59996
473	48076.14714
474	48074.08642
475	48070.39571
476	48066.1574
477	48063.85238
478	48062.75693
479	48061.71835
480	48060.66231
481	48059.12566
482	48057.93574
483	48056.69857
484	48054.97872
485	48051.79727
486	48045.83119
487	48043.08528
488	48040.17366
489	48037.6953
490	48036.34885
491	48035.25412
492	48034.71205
493	48034.14439
494	48032.69166
495	48030.00385
496	48029.59143
497	48025.89469
498	48023.79146
499	48021.09916
500	48020.05312
501	48018.67775
502	48016.46824
503	48014.81638
504	48013.31225
505	48012.84006
506	48010.43842
507	48009.2252
508	48007.209
509	48000.97224
510	48000.39193
511	47999.71741
512	47996.65193
513	47994.44318
514	47993.57507
515	47992.76248
516	47991.62129
517	47988.76774
518	47986.8407
519	47985.95234
520	47985.34592
521	47983.82206
522	47983.03912
523	47981.49194
524	47979.08246
525	47977.91471
526	47976.73424
527	47976.44919
528	47974.51117
529	47971.34428
530	47971.20729
531	47969.06461
532	47968.31713
533	47968.21586
534	47965.46578
535	47964.48806
536	47962.0175
537	47960.35312
538	47958.48746
539	47957.31212
540	47955.85523
541	47954.85717
542	47952.77729
543	47949.87229
544	47949.27469
545	47947.49363
546	47944.59394
547	47942.61496
548	47941.95081
549	47939.96513
550	47936.12893
551	47934.09832
552	47932.48117
553	47931.62084
554	47930.73963
555	47929.66659
556	47928.63827
557	47926.57132
558	47925.33579
559	47923.33427
560	47921.697
561	47920.87441
562	47919.99139
563	47918.84222
564	47918.11904
565	47916.35264
566	47915.4204
567	47914.76784
568	47913.54646
569	47913.06891
570	47911.89407
571	47908.45805
572	47907.47456
573	47905.88568
574	47902.69246
575	47902.23149
576	47901.45731
577	47900.67874
578	47898.20299
579	47897.61709
580	47896.73038
581	47891.65947
582	47891.04398
583	47890.25613
584	47889.10752
585	47887.73692
586	47886.16554
587	47885.63161
588	47885.25812
589	47884.21312
590	47883.35847
591	47882.89752
592	47882.39315
593	47881.44107
594	47880.90469
595	47880.34928
596	47879.58087
597	47878.62987
598	47875.69454
599	47872.88428
600	47871.89379
601	47870.43444
602	47870.26601
603	47868.00222
604	47867.5839
605	47867.31016
606	47865.60894
607	47863.10663
608	47862.3891
609	47861.26303
610	47860.27224
611	47857.48018
612	47856.37457
613	47855.16801
614	47853.39111
615	47852.50327
616	47852.28212
617	47851.55557
618	47851.14752
619	47850.34607
620	47849.77876
621	47848.49294
622	47846.9289
623	47846.21844
624	47844.95275
625	47843.59869
626	47842.95013
627	47841.1866
628	47840.57062
629	47837.19672
630	47834.73582
631	47832.01713
632	47831.48615
633	47829.24693
634	47828.28329
635	47826.54618
636	47826.21177
637	47824.59178
638	47823.29972
639	47819.6214
640	47818.87904
641	47817.22738
642	47815.52122
643	47814.55798
644	47813.41074
645	47811.78575
646	47810.55039
647	47808.98556
648	47807.44725
649	47804.57516
650	47803.68099
651	47800.73897
652	47800.2979
653	47798.23188
654	47796.93385
655	47795.83838
656	47794.27853
657	47792.29914
658	47790.3542
659	47789.67782
660	47788.92694
661	47787.80601
662	47787.3146
663	47786.5578
664	47786.1123
665	47784.29256
666	47783.11235
667	47781.97273
668	47781.2887
669	47780.23884
670	47779.5906
671	47777.05097
672	47776.54103
673	47774.80255
674	47773.63159
675	47773.05665
676	47772.56467
677	47771.02859
678	47770.65865
679	47769.29602
680	47767.83285
681	47767.22409
682	47765.78449
683	47764.41944
684	47762.67882
685	47760.1706
686	47758.84495
687	47757.91113
688	47757.04261
689	47756.62799
690	47755.34382
691	47754.46562
692	47752.51577
693	47749.22919
694	47748.22451
695	47748.01245
696	47746.60602
697	47746.5339
698	47746.03931
699	47745.51647
700	47743.14244
701	47742.61136
702	47742.40336
703	47740.67812
704	47739.34739
705	47737.95955
706	47737.04625
707	47736.55329
708	47735.19174
709	47734.48482
710	47732.95188
711	47731.34646
712	47730.00071
713	47728.09191
714	47728.02421
715	47727.03841
716	47726.8075
717	47725.72281
718	47723.95652
719	47721.97256
720	47721.59454
721	47720.64115
722	47720.24153
723	47719.77058
724	47718.8489
725	47717.59897
726	47716.63476
727	47716.3027
728	47714.69777
729	47712.86807
730	47712.24141
731	47712.11415
732	47711.74249
733	47709.78286
734	47707.94848
735	47707.21283
736	47705.55711
737	47704.22383
738	47703.23389
739	47702.98241
740	47702.09856
741	47701.66899
742	47701.12811
743	47700.2248
744	47699.12852
745	47698.25097
746	47697.53947
747	47696.51035
748	47694.7069
749	47694.40312
750	47693.55226
751	47692.71682
752	47692.26395
753	47690.79288
754	47690.39255
755	47690.27032
756	47688.82097
757	47687.13863
758	47685.79801
759	47685.24519
760	47684.8643
761	47684.6271
762	47684.06205
763	47683.55791
764	47682.82027
765	47682.38706
766	47680.18871
767	47679.49684
768	47677.73164
769	47676.47584
770	47675.66608
771	47674.17636
772	47673.60845
773	47672.25647
774	47671.61992
775	47671.56622
776	47670.79166
777	47668.62184
778	47667.62258
779	47667.02479
780	47665.48587
781	47664.97507
782	47663.31593
783	47662.05623
784	47661.31162
785	47660.0607
786	47657.74931
787	47656.6546
788	47655.97922
789	47655.57895
790	47654.6843
791	47653.87529
792	47651.24919
793	47650.24196
794	47649.3429
795	47648.63339
796	47647.34723
797	47646.50207
798	47644.59537
799	47643.20825
800	47642.83388
801	47642.111
802	47641.48535
803	47640.53236
804	47638.61156
805	47638.21394
806	47637.21178
807	47636.12253
808	47635.51285
809	47633.50402
810	47632.78082
811	47631.79373
812	47630.92442
813	47629.25488
814	47627.5537
815	47627.16401
816	47626.7281
817	47626.31934
818	47626.008
819	47625.49345
820	47624.45971
821	47623.50824
822	47622.2184
823	47621.40662
824	47620.44807
825	47618.86325
826	47617.7124
827	47616.348
828	47615.23444
829	47614.89179
830	47614.54329
831	47614.24473
832	47613.962
833	47613.70391
834	47612.48911
835	47612.28411
836	47611.95315
837	47611.17665
838	47609.86413
839	47609.49146
840	47608.69169
841	47607.93072
842	47607.78534
843	47606.75252
844	47606.13404
845	47604.46983
846	47602.79194
847	47602.67026
848	47600.12379
849	47597.30423
850	47595.97342
851	47595.56618
852	47594.54078
853	47593.64409
854	47592.29445
855	47591.59873
856	47591.32565
857	47590.74336
858	47590.22744
859	47589.51243
860	47588.9849
861	47588.2813
862	47587.91933
863	47584.70151
864	47584.26562
865	47581.4047
866	47580.79801
867	47580.13155
868	47579.28631
869	47579.22284
870	47578.30196
871	47576.7226
872	47576.55159
873	47576.16301
874	47575.9128
875	47574.11021
876	47572.63199
877	47572.43585
878	47571.42909
879	47569.483
880	47568.25206
881	47566.38066
882	47565.7566
883	47565.71674
884	47564.72306
885	47564.35793
886	47563.83817
887	47563.06122
888	47562.24666
889	47561.72729
890	47561.1962
891	47561.00262
892	47559.72692
893	47559.4632
894	47559.41335
895	47558.44174
896	47557.71053
897	47557.24568
898	47555.77389
899	47553.95516
900	47553.15585
901	47552.16137
902	47551.37685
903	47551.01004
904	47550.00292
905	47548.92183
906	47547.41771
907	47547.09145
908	47546.22432
909	47545.72075
910	47544.38663
911	47544.0729
912	47543.48852
913	47540.99411
914	47540.75035
915	47540.51138
916	47539.70705
917	47539.03299
918	47538.52281
919	47538.24113
920	47537.84389
921	47537.37522
922	47537.23914
923	47536.7407
924	47536.12944
925	47535.77984
926	47535.28977
927	47533.7332
928	47531.88271
929	47529.64755
930	47528.58397
931	47527.92509
932	47526.56499
933	47526.48691
934	47526.41001
935	47525.01023
936	47524.89651
937	47524.65089
938	47524.49498
939	47524.12428
940	47523.25241
941	47522.8301
942	47522.51653
943	47522.33315
944	47521.65245
945	47519.80039
946	47519.32351
947	47518.6594
948	47517.79555
949	47517.29186
950	47515.64193
951	47514.93398
952	47514.37356
953	47514.01614
954	47513.56557
955	47512.58932
956	47512.17192
957	47511.92399
958	47511.25471
959	47510.88398
960	47510.54278
961	47510.44298
962	47510.12302
963	47509.56432
964	47508.47075
965	47507.31309
966	47506.91382
967	47505.36817
968	47504.88238
969	47504.58907
970	47504.03719
971	47503.09838
972	47502.98357
973	47502.50705
974	47501.12655
975	47500.8851
976	47500.57878
977	47499.50849
978	47499.29804
979	47497.69769
980	47497.0364
981	47496.84429
982	47496.28948
983	47495.73891
984	47494.91411
985	47494.51421
986	47494.1843
987	47492.62782
988	47491.24796
989	47491.10624
990	47490.60629
991	47489.8584
992	47489.09087
993	47488.78372
994	47488.57106
995	47488.07487
996	47487.56679
997	47487.26499
998	47486.86678
999	47486.27355
