iter	Passed	Remaining
0	1	1513
1	2	1380
2	4	1339
3	5	1317
4	6	1294
5	7	1270
6	8	1261
7	10	1249
8	11	1259
9	12	1257
10	13	1250
11	15	1241
12	16	1237
13	17	1234
14	18	1235
15	20	1230
16	21	1230
17	22	1231
18	23	1229
19	25	1230
20	26	1248
21	28	1248
22	29	1245
23	30	1244
24	31	1244
25	33	1246
26	34	1243
27	35	1238
28	36	1236
29	38	1232
30	39	1231
31	40	1228
32	41	1230
33	43	1229
34	44	1226
35	45	1215
36	46	1215
37	47	1214
38	49	1214
39	50	1211
40	51	1208
41	52	1204
42	53	1201
43	55	1199
44	56	1197
45	57	1195
46	58	1192
47	60	1190
48	61	1187
49	62	1185
50	63	1185
51	64	1184
52	66	1181
53	67	1179
54	68	1177
55	69	1175
56	71	1185
57	73	1189
58	74	1188
59	75	1189
60	77	1189
61	78	1189
62	79	1187
63	81	1186
64	81	1179
65	83	1178
66	84	1180
67	85	1175
68	86	1173
69	88	1171
70	89	1171
71	90	1169
72	92	1169
73	93	1167
74	94	1165
75	95	1164
76	96	1162
77	98	1160
78	99	1157
79	100	1156
80	101	1154
81	103	1153
82	104	1150
83	105	1148
84	106	1147
85	107	1145
86	109	1144
87	110	1142
88	111	1137
89	112	1135
90	113	1135
91	115	1135
92	116	1134
93	117	1132
94	118	1130
95	119	1129
96	121	1127
97	122	1125
98	123	1124
99	124	1122
100	125	1120
101	127	1118
102	128	1117
103	129	1115
104	130	1113
105	131	1112
106	133	1110
107	134	1108
108	135	1106
109	136	1105
110	137	1103
111	139	1102
112	140	1100
113	141	1099
114	142	1097
115	143	1095
116	145	1094
117	146	1092
118	147	1091
119	148	1089
120	149	1087
121	150	1086
122	152	1085
123	153	1083
124	154	1081
125	155	1080
126	156	1078
127	158	1077
128	159	1076
129	160	1076
130	161	1074
131	163	1072
132	164	1071
133	165	1070
134	166	1068
135	168	1067
136	169	1065
137	170	1063
138	171	1062
139	172	1060
140	174	1060
141	175	1059
142	176	1058
143	177	1057
144	179	1056
145	180	1055
146	181	1054
147	182	1052
148	184	1050
149	185	1049
150	186	1047
151	187	1046
152	188	1044
153	190	1044
154	191	1044
155	192	1043
156	193	1041
157	195	1040
158	196	1039
159	197	1038
160	199	1037
161	200	1036
162	201	1034
163	202	1033
164	204	1032
165	205	1031
166	206	1030
167	207	1028
168	208	1027
169	210	1025
170	211	1024
171	212	1023
172	213	1021
173	214	1020
174	216	1018
175	217	1017
176	218	1016
177	220	1016
178	221	1015
179	222	1014
180	223	1012
181	224	1010
182	226	1009
183	227	1007
184	228	1006
185	229	1004
186	230	1003
187	231	1001
188	233	1000
189	234	998
190	235	997
191	236	996
192	237	994
193	238	992
194	240	991
195	241	989
196	242	988
197	243	986
198	244	985
199	246	984
200	247	983
201	248	981
202	249	981
203	251	979
204	252	978
205	253	977
206	254	975
207	255	974
208	257	973
209	258	972
210	259	970
211	260	968
212	261	967
213	263	966
214	264	964
215	265	963
216	266	961
217	267	960
218	268	959
219	270	957
220	271	956
221	272	954
222	273	953
223	274	951
224	275	950
225	277	948
226	278	947
227	279	947
228	280	946
229	282	944
230	283	943
231	284	942
232	285	941
233	287	939
234	288	938
235	289	937
236	290	935
237	291	934
238	292	932
239	294	931
240	295	930
241	296	928
242	297	927
243	298	926
244	300	924
245	301	923
246	302	922
247	303	920
248	304	919
249	305	917
250	307	916
251	308	914
252	309	914
253	310	913
254	312	912
255	313	911
256	314	909
257	315	908
258	317	907
259	318	906
260	319	905
261	320	904
262	322	902
263	323	901
264	324	900
265	325	899
266	326	897
267	328	896
268	329	895
269	330	893
270	331	892
